Lens_Vector,Smile_Vector,Moustach_Vector,Male_Female_Vector,Young_Old_Vector
-0.022137463,-0.005766529,0.015039867,-0.011217729,0.071283065
-0.015285026,-0.038792558,0.1073522,-0.041278552,0.06417927
0.046686504,0.03121433,-0.04407007,-0.016897917,-0.011292751
0.009717679,-0.045767214,0.03705789,0.026833737,-0.014053275
-0.008509382,0.0071102506,0.047028873,0.025974438,-0.010880028
0.029580018,0.020486776,0.008452119,0.008042187,0.044242147
0.03895112,-0.029357724,0.02778859,-0.036511313,-0.064994074
-0.037453778,-0.10670109,-0.054650307,-0.017499201,0.04053977
-0.0029429737,0.024608005,-0.0018498488,-0.036013722,0.06453289
-0.04122784,0.030923788,0.0063107684,-0.02284506,0.06511004
0.012195874,0.018235207,0.009413261,-0.006837528,0.024468958
-0.0239387,0.09814496,-0.04109365,-0.030544784,-0.14486694
-0.04027867,-0.008940893,-0.0029740292,-0.02332222,0.024754735
-0.038480654,0.010714965,0.015308662,-0.05506222,-0.028353166
0.016695397,-0.020078566,-0.016675733,0.016554423,-0.019186195
0.030403042,-0.04661114,0.0018177256,-0.0054697935,-0.051027693
-0.040472526,0.0685506,-0.016909825,-0.06304406,0.050151758
-0.0024146633,-0.016012553,0.0037582829,0.009680709,-0.0094432095
0.054687154,0.0065675266,0.012240084,-0.030602304,-0.03032709
0.10052187,0.043428082,-0.05977519,-0.0754119,-0.061764047
0.0027628709,0.017543655,-0.013779007,-0.012524736,-0.01500272
-0.0052266438,0.029727705,0.024933346,-0.021348197,0.10655323
0.048791744,-0.0033240623,-0.014446536,0.06385391,-0.045131426
0.013605269,0.047662094,-0.038457282,0.028048925,-0.0135277845
0.034286298,-0.014900407,0.063810386,-0.05557376,-0.09102731
-0.09299543,0.030002583,-0.01865921,-0.025379367,0.06471466
0.053707443,0.05801218,-0.0812923,-0.02185274,-0.011575187
0.035159238,-0.035780184,0.07182236,-0.040188286,-0.1024971
-0.036815953,-0.019145679,0.05501299,0.015845079,0.06985396
-0.029531064,-0.09756679,-0.009520493,0.021069882,-0.07475389
0.027504157,-0.038990147,0.039628997,-0.051558148,-0.0011359013
-0.08465078,-0.036230166,-0.0658998,-0.041526128,0.044518534
-0.010201225,0.18278538,0.15224299,-0.2665558,0.062878385
-0.06469581,-0.043923028,-0.004905604,0.032466367,0.19771051
0.020438178,0.006294278,-0.012252176,-0.052625485,0.048930265
0.014054414,0.10055761,0.16702923,-0.14701238,0.03185675
-0.03429163,-0.04188589,-0.10993756,-0.11235881,0.07797736
0.015429214,0.043764085,-0.010349393,0.00402275,-0.011079154
-0.015034609,0.044371232,0.031889215,-0.0968836,-0.028980035
-0.0446868,-0.048980527,0.06818823,-0.05321507,0.14276212
-0.035418898,0.052394167,0.084029645,0.0069242865,-0.026629664
-0.011295997,-0.018000588,0.03005494,0.09973962,0.15910283
-0.0020712763,0.048643935,0.013893612,0.0028301366,0.01409772
0.040869407,-0.006325597,-0.03201128,0.00035697734,-0.035478614
-0.008682049,-0.017948868,0.026125357,0.011113597,0.019177113
-0.023942528,-0.0021985732,0.013372742,0.03967161,0.05631665
-0.097859845,-0.02094112,-0.0040156674,-0.0018219287,-0.0702361
-0.027714994,-0.041484017,-0.026719715,0.022723997,-0.02010718
0.05566077,0.058392074,-0.024867242,0.10380055,0.007191874
0.0040157307,-0.034343354,0.0070171263,-0.0028162757,0.049752075
0.050772883,0.060304604,-0.07918635,-0.03259177,0.02200647
-0.049642906,0.06477825,-0.044180974,0.029423691,-0.05650505
0.00067442283,-0.0035676882,-0.00518864,-0.09880072,-0.05514047
-0.0065361625,0.004111504,0.015712846,0.024851307,0.0326026
0.13015294,0.06818478,0.11714852,0.04235108,-0.18384707
-0.03723989,-0.057085376,0.0035658535,-0.08611567,0.03291411
-0.030789288,0.008023962,0.11612862,-0.15527056,-0.13297996
-0.02223431,-0.04769826,-0.0097859185,-0.04244932,-0.0061974665
-0.015758414,0.0052101566,-0.005855355,-0.004219735,0.0019753892
0.0017730575,-0.051791698,0.060109414,0.056085743,-0.02702105
0.035945967,-0.0117509775,0.036412492,0.13810551,-0.15995957
-0.08502093,0.019809008,0.056505803,-0.076878995,0.09243641
-0.042268876,0.010346802,0.13246304,-0.01434263,0.022879478
0.01623389,0.045190286,-0.017121002,0.014060423,-0.06876093
-0.036617495,0.01016271,-0.012680078,0.050546966,0.012037229
-0.025385978,0.015133617,-0.09047035,-0.069294244,0.08662072
0.03374117,0.009232169,0.05469219,0.027368383,0.004419815
-0.092823654,-0.0022271313,-0.062083617,-0.036475632,-0.042787373
0.011295186,0.0049694628,0.025356637,-0.02836471,-0.056433756
-0.06006646,0.0033796113,0.021311516,-0.030978631,0.02103843
0.0059310687,-0.014790045,0.017589616,-0.031180907,0.023467707
-0.041275848,-0.06198132,-0.050763693,-0.02277612,0.07892862
